Provider_ID,Provider_Name,Hospital_Name,Hospital_Type,Provider_Specialty,State,Years_in_Practice,Provider_Rating,Total_Beds,Accreditation_Status,Is_High_Risk
P045,Jason Hudson,"Lewis, Chan and Johnson",Government,General Practice,PA,16,2.2,631,Pending Review,0
P046,Becky Martin,Reyes Ltd,Private,Cardiology,OH,19,3.2,415,Pending Review,0
P047,William Marshall,"Bryant, Bradley and Gordon",Non-Profit,Oncology,PA,38,3.0,464,Pending Review,0
P048,Jonathon Murphy,Brennan Group,Government,Cardiology,IL,6,3.5,252,Lapsed,1
P049,Grant Rodriguez,Stuart-Proctor,Private,General Practice,TX,4,2.0,95,Accredited,0
P050,Matthew Soto,King LLC,Government,Cardiology,FL,8,3.4,284,Accredited,0
P051,Toni Combs,Cook LLC,Clinic,Oncology,PA,6,4.9,474,Accredited,0
P052,Stephanie Petty,"Rojas, Webb and Phillips",Non-Profit,Cardiology,PA,31,2.9,737,Accredited,1
P053,Emily Clark,Cherry-Harris,Clinic,Pediatrics,TX,20,4.6,754,Accredited,1
P054,Christine Ward,Middleton-Shaw,Non-Profit,General Practice,IL,28,2.7,403,Pending Review,0
P055,Marcus Stafford,"Johnson, Mills and Anderson",Private,Neurology,PA,36,2.4,583,Accredited,0
P056,Judy Park,Rowland-Lewis,Non-Profit,Cardiology,NY,12,3.6,525,Pending Review,0
P057,Andrew Gonzalez,"Holland, Barr and Rubio",Non-Profit,Oncology,IL,38,3.7,386,Lapsed,0
P058,Mike Ross,Allen and Sons,Private,General Practice,IL,16,4.5,163,Lapsed,0
P059,Teresa Massey,Terrell Inc,Non-Profit,Oncology,FL,33,1.9,88,Pending Review,0
P060,Patrick Hughes,Hawkins-Rivera,Government,Oncology,PA,17,3.0,118,Accredited,0
P061,Dawn Robinson,Miles LLC,Private,Cardiology,OH,10,3.3,415,Accredited,0
P062,Angela Bailey,Myers-Powell,Private,Oncology,GA,16,4.1,44,Pending Review,0
P063,Sabrina Garcia,Graham-Medina,Private,Cardiology,GA,25,1.2,488,Accredited,0
P064,Derrick Tyler,Wolfe-Mccullough,Clinic,Neurology,GA,23,5.0,503,Accredited,0
P065,Anita Sanchez,Ramos Group,Clinic,Pediatrics,FL,18,2.9,584,Pending Review,0
P066,Toni Williams,Sanchez Inc,Non-Profit,Oncology,GA,20,2.1,170,Accredited,0
P067,Mr. Alexander Molina,Butler PLC,Private,Oncology,TX,26,4.5,163,Accredited,0
P068,Jose Thomas,Aguirre-Fisher,Non-Profit,Oncology,CA,28,4.0,588,Accredited,1
P069,Steven Callahan,Davis Inc,Government,Orthopedics,IL,27,4.8,58,Accredited,0
P070,Miguel Ramirez,"Page, Berry and Strickland",Private,Orthopedics,OH,31,2.3,128,Accredited,0
P071,Caleb Rich,Carter-Mcknight,Government,General Practice,CA,17,3.2,712,Lapsed,0
P072,Derek Brown PhD,Salazar-Davis,Non-Profit,Pediatrics,FL,3,3.3,61,Accredited,1
P073,John Ellis,Aguirre-Miles,Clinic,Pediatrics,IL,27,4.9,205,Lapsed,1
P074,Justin Harvey,Graham Ltd,Non-Profit,Orthopedics,FL,9,1.3,417,Accredited,0
P075,Melissa Figueroa,"Mitchell, Lee and Mills",Government,General Practice,FL,11,2.2,242,Lapsed,0
P076,Briana Calderon,Carter Inc,Private,Orthopedics,TX,26,1.8,653,Accredited,0
P077,Noah Luna,Allen LLC,Non-Profit,Neurology,NY,3,2.1,152,Accredited,0
P078,Charles James,"Hall, Douglas and Ayala",Private,General Practice,NY,10,2.9,182,Accredited,0
P079,Julie Scott,Mccoy and Sons,Clinic,Pediatrics,FL,26,2.5,234,Pending Review,0
P080,Mark Williams,Moore-Greer,Clinic,Pediatrics,GA,13,2.6,752,Pending Review,0
P081,Linda Garcia,Phillips-Mcbride,Clinic,Orthopedics,CA,19,4.4,254,Lapsed,0
P082,James Zimmerman,Phillips-Armstrong,Private,Neurology,GA,10,4.7,677,Accredited,0
P083,Derek King,"Simmons, Solis and Hill",Non-Profit,Orthopedics,PA,37,1.3,770,Pending Review,0
P084,Patricia Wang,Short-Thompson,Private,Cardiology,FL,37,1.8,607,Pending Review,0
P085,Melissa Jones,Gibson Ltd,Private,Cardiology,PA,35,3.7,28,Pending Review,0
P086,Catherine Weaver,Holmes Ltd,Non-Profit,Neurology,GA,7,2.4,93,Accredited,0
P087,Antonio Lutz,Levine Ltd,Clinic,Oncology,PA,30,2.0,511,Accredited,0
P088,Amber Williams,Anderson-Lester,Clinic,Oncology,FL,9,2.2,272,Accredited,0
P089,Joshua Spencer MD,"James, Carter and Parker",Non-Profit,Cardiology,TX,11,2.3,249,Accredited,0
P090,George Ortiz,"Carr, Maynard and Alvarez",Private,Cardiology,NY,10,4.4,538,Pending Review,0
P091,Denise Rose DDS,"Crane, Andersen and Anderson",Private,Oncology,CA,14,1.5,193,Accredited,0
P092,Destiny Mccormick,Gentry-Alvarado,Clinic,General Practice,PA,36,3.8,672,Accredited,1
P093,Morgan Sandoval,"Powell, Carson and Wright",Government,Oncology,FL,35,3.2,187,Lapsed,1
P094,Joseph Thomas,Jackson-Williams,Government,Orthopedics,TX,25,2.2,189,Accredited,0
P095,Douglas Rose,Patel and Sons,Government,General Practice,GA,26,2.7,412,Pending Review,0
P096,Bryan Grant,"Reese, Frazier and Kim",Private,Orthopedics,NY,39,2.0,653,Lapsed,0
P097,Lori Campbell,Dunn LLC,Private,Cardiology,FL,37,3.4,213,Lapsed,0
P098,Spencer Kim,Riley and Sons,Clinic,General Practice,CA,24,1.3,536,Accredited,0
P099,Nancy Lopez,Osborne-Kelley,Government,Orthopedics,GA,29,1.0,48,Pending Review,0
P100,Christopher Webb,Zhang-Waters,Clinic,Orthopedics,TX,37,3.5,184,Lapsed,0
P101,Cassie Carr,"Rodriguez, Meyer and Wade",Clinic,General Practice,GA,3,1.8,441,Accredited,1
P102,Joshua Patton,Daugherty and Sons,Clinic,Neurology,OH,37,1.3,358,Accredited,0
P103,Nicole West DDS,Cummings-Phillips,Non-Profit,Oncology,GA,39,2.6,667,Pending Review,1
P104,Martha Keller,Escobar Inc,Government,Pediatrics,PA,16,1.2,515,Accredited,0
P105,Michael Rowland,"Hoffman, Gonzalez and Parrish",Government,Orthopedics,GA,5,4.5,384,Accredited,1
P106,Steven Richardson,Wright Inc,Non-Profit,Oncology,TX,3,1.1,361,Accredited,0
P107,Richard Barker,Stark LLC,Non-Profit,Pediatrics,GA,7,3.3,519,Accredited,0
P108,Destiny Weaver,Washington Ltd,Government,Oncology,GA,28,2.8,676,Accredited,0
P109,George Pierce,Baldwin-Holloway,Non-Profit,Cardiology,IL,16,3.7,530,Accredited,0
P110,Sandy Kennedy MD,Larson-Williamson,Clinic,Pediatrics,FL,29,2.3,346,Accredited,0
P111,Michael Scott,"Russell, Stephens and Smith",Private,Oncology,IL,11,1.6,236,Accredited,0
P112,Thomas Gamble,Hess Group,Clinic,Orthopedics,GA,17,4.9,320,Lapsed,0
P113,Linda Moore,Smith Group,Government,Pediatrics,FL,17,4.4,151,Accredited,0
P114,Melissa Gonzalez,Wilson Inc,Non-Profit,Cardiology,IL,28,4.4,89,Accredited,0
P115,Kimberly Burns,Clayton Group,Private,General Practice,GA,15,2.0,271,Accredited,0
P116,Andrea Reynolds,Poole-Burke,Government,Orthopedics,CA,34,1.2,434,Pending Review,0
P117,Ashley Johnson,"Becker, Dean and White",Non-Profit,Cardiology,IL,34,2.2,464,Accredited,0
P118,Michael Vargas,"Frazier, Allen and Jones",Private,Cardiology,FL,6,3.1,201,Lapsed,1
P119,Debbie Ruiz,Johnson Inc,Private,Pediatrics,IL,32,2.3,186,Lapsed,0
P120,Stacey Copeland,Payne-Haynes,Non-Profit,Oncology,OH,39,4.3,110,Lapsed,1
P121,Eric Petersen,Garcia Inc,Private,General Practice,OH,25,2.1,733,Accredited,0
P122,Catherine Hunter,"Johnson, Price and Gordon",Government,Orthopedics,CA,17,4.9,550,Accredited,0
P123,Meredith Nunez,"Morris, Lam and Clark",Non-Profit,Orthopedics,TX,31,2.8,58,Accredited,0
P124,Harold Mitchell,"Wilson, Dillon and Hebert",Clinic,Oncology,TX,38,4.4,145,Accredited,1
P125,Mr. Gregory Mitchell DVM,Espinoza and Sons,Government,General Practice,FL,15,1.8,470,Accredited,1
P126,Andrea Williams,Mcdaniel-Combs,Government,Pediatrics,PA,34,2.6,192,Accredited,0
P127,Thomas Jordan,Johnson PLC,Non-Profit,Orthopedics,TX,9,3.8,672,Accredited,0
P128,Barbara Morales,Moore-Boyer,Non-Profit,General Practice,FL,24,1.6,773,Accredited,0
P129,Briana Barrett,Carter-Watson,Private,Pediatrics,CA,30,1.5,239,Accredited,1
P130,David Adams,"Harrison, Stafford and Henry",Government,Pediatrics,PA,4,4.9,657,Lapsed,1
P131,Terry Martinez,Martinez Group,Private,Orthopedics,PA,8,3.9,77,Accredited,0
P132,James Adams,Rich-Foster,Government,Oncology,OH,30,1.2,679,Accredited,1
P133,Jason Anderson,Schmidt-Pearson,Government,Neurology,GA,30,2.6,495,Accredited,0
P134,Lindsey Riley,Baker-Griffin,Clinic,Orthopedics,PA,22,2.7,475,Accredited,0
P135,James Rowland,"Burton, Kennedy and Anderson",Government,Cardiology,NY,32,4.0,380,Lapsed,0
P136,Dustin Ho,"Watson, Wright and Bradshaw",Private,Cardiology,FL,13,2.0,20,Accredited,0
P137,David Washington,Murray-Paul,Private,Pediatrics,PA,30,1.7,406,Accredited,0
P138,Margaret Morris,Watkins Group,Clinic,Neurology,PA,27,1.3,367,Pending Review,0
P139,Mrs. Heather Alvarez,"Bowen, White and Watson",Private,Orthopedics,NY,35,2.7,209,Accredited,1
P140,Michael Bailey,"Green, Ward and Dixon",Non-Profit,Cardiology,PA,3,3.8,524,Accredited,0
P141,Kelsey Beck,Jackson Ltd,Clinic,Cardiology,GA,29,1.2,210,Lapsed,0
P142,Teresa Perkins,"Swanson, Doyle and Miller",Private,Orthopedics,NY,15,4.7,527,Accredited,0
P143,Cory Reid,"Ray, Woods and Gordon",Private,General Practice,OH,5,2.8,388,Pending Review,0
P144,Olivia Mack,Hodge Inc,Non-Profit,Pediatrics,IL,8,2.0,428,Pending Review,0
P145,Eric Green,Kim-Roman,Clinic,Orthopedics,PA,10,1.4,136,Pending Review,0
P146,Theresa Soto,"Spencer, Allen and Rogers",Non-Profit,General Practice,PA,29,1.7,153,Accredited,1
P147,John Gutierrez,Daniels-Carr,Clinic,Pediatrics,FL,11,4.7,77,Accredited,0
P148,Carolyn Hanson,Webb Ltd,Clinic,Neurology,GA,39,3.6,575,Accredited,0
P149,Robert Wade,Thomas Inc,Government,Oncology,FL,35,3.1,704,Accredited,0
P150,Chelsea Brown,"Oliver, Ruiz and Turner",Private,Pediatrics,IL,26,3.6,691,Pending Review,0
P151,Jesse Hart,Bass-Johnson,Private,Neurology,PA,17,2.7,192,Accredited,0
P152,Todd Wood,Patton PLC,Government,Oncology,GA,34,3.9,168,Accredited,0
P153,Steven Scott,Ortiz-Noble,Non-Profit,Cardiology,NY,34,1.2,99,Pending Review,1
P154,Amanda Mann,Frye-King,Government,Cardiology,PA,26,3.3,232,Pending Review,0
P155,Sandra Small,"Hoffman, Rivera and Hernandez",Private,Cardiology,OH,14,1.6,222,Accredited,0
P156,Thomas Brown,"Williamson, Baker and Lewis",Private,Pediatrics,PA,4,1.5,783,Lapsed,0
P157,James Orr,Crane Ltd,Government,General Practice,TX,5,2.4,248,Accredited,0
P158,Tammy Roberts,Proctor-Campbell,Government,Oncology,GA,39,1.4,695,Accredited,1
P159,Corey Kerr,"Stevenson, Fry and Ryan",Government,Cardiology,TX,19,1.4,246,Accredited,0
P160,Stephen Nielsen,Snyder LLC,Private,Orthopedics,NY,4,2.2,678,Lapsed,0
P161,Ruben Hopkins,Young Inc,Government,Oncology,PA,4,4.9,551,Accredited,0
P162,Cindy Walker,Evans-Mcdonald,Government,Oncology,NY,30,1.7,460,Accredited,0
P163,Mathew Houston,Smith Group,Non-Profit,General Practice,CA,25,1.1,421,Accredited,0
P164,Erik Cervantes,Garcia LLC,Government,Neurology,PA,39,4.1,66,Accredited,0
P165,Casey Smith,"Hamilton, Abbott and Carpenter",Private,General Practice,TX,34,4.2,252,Lapsed,1
P166,Lisa Robertson,"Moreno, Walker and Thomas",Non-Profit,Cardiology,GA,35,2.4,324,Pending Review,0
P167,Rebecca Cook,Adkins PLC,Clinic,Orthopedics,TX,3,2.9,545,Lapsed,0
P168,Wayne Mcdaniel,Ali-Stone,Private,Orthopedics,NY,21,3.6,162,Lapsed,0
P169,Tammy Cook,"Gray, Snyder and Diaz",Private,Cardiology,IL,4,1.2,434,Lapsed,0
P170,Scott Brown,"Schneider, Fry and Pitts",Clinic,Orthopedics,PA,28,4.8,532,Accredited,0
P171,Richard Whitney,Clarke Group,Private,General Practice,OH,34,4.5,392,Lapsed,1
P172,Keith Sparks,"Potter, Richards and Austin",Clinic,Pediatrics,FL,8,2.0,585,Pending Review,0
P173,Brad Peterson,Hardin and Sons,Clinic,General Practice,GA,34,1.1,278,Pending Review,0
P174,Kelli Kirby,"Elliott, Taylor and Schmidt",Private,Pediatrics,OH,6,4.7,675,Pending Review,0
P175,Anna Peterson,"Salazar, Fletcher and Jenkins",Government,Cardiology,OH,13,3.0,490,Accredited,0
P176,Ronald Hanna,Weaver LLC,Government,Orthopedics,PA,19,3.2,31,Lapsed,0
P177,Christina Rich,Peters-Christian,Clinic,Oncology,IL,40,3.7,349,Pending Review,0
P178,Erica Gregory,"Mills, York and Baker",Non-Profit,Neurology,PA,26,3.5,755,Accredited,0
P179,Sandra Rogers,"Mcdaniel, Ramirez and Castro",Clinic,Oncology,IL,7,4.8,377,Lapsed,0
P180,Andre Watson,Tyler Inc,Clinic,Pediatrics,CA,36,4.8,427,Lapsed,1
P181,Gary Davis,Moore Group,Clinic,General Practice,GA,8,4.5,687,Accredited,0
P182,Heather Tran,Hunt LLC,Government,General Practice,NY,24,3.5,392,Lapsed,0
P183,Susan Conway,"Simmons, Scott and Curtis",Government,General Practice,NY,13,4.2,27,Accredited,0
P184,Taylor Lamb,"Humphrey, Myers and Smith",Government,General Practice,OH,18,3.7,141,Accredited,0
P185,Jessica Clark,"Holmes, Cantu and Webb",Clinic,Neurology,FL,35,3.3,367,Accredited,0
P186,Jesus Martinez,Marsh-Gibson,Non-Profit,Cardiology,CA,11,1.5,695,Accredited,0
P187,John Woods,Turner-Osborne,Government,General Practice,NY,8,4.2,109,Accredited,1
P188,Gary Smith,Lynch-White,Private,Pediatrics,NY,18,4.3,667,Accredited,0
P189,Amy White,Schmitt and Sons,Private,Orthopedics,FL,31,3.5,717,Accredited,0
P190,Stephen James,"Moore, George and Mendoza",Private,Neurology,FL,5,4.3,335,Accredited,0
P191,Melissa Hardin,Butler-Thomas,Clinic,Pediatrics,NY,22,3.6,197,Lapsed,0
P192,Jeffrey Rodriguez,"Guzman, Day and Glenn",Private,Pediatrics,TX,38,1.8,559,Accredited,0
P193,Michelle David,Dunn PLC,Clinic,General Practice,FL,21,2.1,751,Accredited,0
P194,George Russell,"Leach, Clarke and Lopez",Private,Orthopedics,TX,28,1.9,60,Accredited,0
P195,Johnathan Moore,Poole PLC,Non-Profit,General Practice,GA,5,2.5,759,Pending Review,0
P196,Michelle Carlson,"Keller, Keller and Norton",Clinic,Pediatrics,CA,21,1.2,723,Pending Review,1
P197,Laura Watson,Stark Group,Private,Cardiology,FL,22,3.5,521,Lapsed,0
P198,Nicole Dean,"Pham, Williams and Morgan",Government,Neurology,GA,34,2.3,164,Pending Review,0
P199,Chad Reyes,Miller-Harvey,Clinic,Cardiology,IL,9,3.6,220,Accredited,0
P200,Cindy Mckinney,"Gonzales, Moore and Lopez",Government,Neurology,OH,35,2.5,743,Accredited,0
